# Matter power spectrum P(k) at redshift z=0
# for k=9.41771e-06 to 7.56952 h/Mpc,
# number of wavenumbers equal to 620
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.722809646970e-02       2.824222866847e+04 
       1.734613585302e-02       2.817390440176e+04 
       1.746423106270e-02       2.810427997196e+04 
       1.758238305772e-02       2.803367115678e+04 
       1.770059282297e-02       2.796203001888e+04 
       1.781886136978e-02       2.788910341212e+04 
       1.793718973632e-02       2.781527566711e+04 
       1.805557898815e-02       2.774036224203e+04 
       1.817403021871e-02       2.766449008922e+04 
       1.829254454985e-02       2.758768689303e+04 
       1.841112313237e-02       2.750979608550e+04 
       1.852976714661e-02       2.743126719297e+04 
       1.864847780300e-02       2.735184700311e+04 
       1.876725634273e-02       2.727149590172e+04 
       1.888610403830e-02       2.719024614661e+04 
       1.900502219424e-02       2.710841247330e+04 
       1.912401214773e-02       2.702550070098e+04 
       1.924307526934e-02       2.694209245670e+04 
       1.936221296369e-02       2.685788813415e+04 
       1.948142667024e-02       2.677302580525e+04 
       1.960071786405e-02       2.668750799312e+04 
       1.972008805650e-02       2.660121662804e+04 
       1.983953879622e-02       2.651454829707e+04 
       1.995907166982e-02       2.642709387620e+04 
       2.007868830282e-02       2.633912104099e+04 
       2.019839036052e-02       2.625053119929e+04 
       2.031817954894e-02       2.616143443623e+04 
       2.043805761574e-02       2.607195575569e+04 
       2.055802635123e-02       2.598184556028e+04 
       2.067808758940e-02       2.589140565877e+04 
       2.079824320889e-02       2.580041647481e+04 
       2.091849513417e-02       2.570901343990e+04 
       2.103884533657e-02       2.561726556822e+04 
       2.115929583546e-02       2.552518056378e+04 
       2.127984869946e-02       2.543273329983e+04 
       2.140050604761e-02       2.533968738932e+04 
       2.152127005067e-02       2.524635769964e+04 
       2.164214293241e-02       2.515297216133e+04 
       2.176312697097e-02       2.505912739311e+04 
       2.188422450021e-02       2.496516833907e+04 
       2.200543791118e-02       2.487067755850e+04 
       2.212676965359e-02       2.477619891845e+04 
       2.224822223732e-02       2.468148267109e+04 
       2.236979823402e-02       2.458638964677e+04 
       2.249150027874e-02       2.449124192667e+04 
       2.261333107160e-02       2.439597869271e+04 
       2.273529337952e-02       2.430038225246e+04 
       2.285739003806e-02       2.420468347666e+04 
       2.297962395322e-02       2.410897705144e+04 
       2.310199810342e-02       2.401298666254e+04 
       2.322451554145e-02       2.391700629694e+04 
       2.334717939653e-02       2.382092276991e+04 
       2.346999287643e-02       2.372486570794e+04 
       2.359295926968e-02       2.362844959131e+04 
       2.371608194784e-02       2.353207576648e+04 
       2.383936436785e-02       2.343589347821e+04 
       2.396281007446e-02       2.333948925509e+04 
       2.408642270276e-02       2.324311141603e+04 
       2.421020598080e-02       2.314681478486e+04 
       2.433416373227e-02       2.305039464183e+04 
       2.445829987931e-02       2.295403928443e+04 
       2.458261844544e-02       2.285762663094e+04 
       2.470712355853e-02       2.276139803497e+04 
       2.483181945395e-02       2.266517414743e+04 
       2.495671047780e-02       2.256900433895e+04 
       2.508180109024e-02       2.247287004450e+04 
       2.520709586901e-02       2.237677093499e+04 
       2.533259951302e-02       2.228096953053e+04 
       2.545831684612e-02       2.218509041333e+04 
       2.558425282095e-02       2.208938769310e+04 
       2.571041252306e-02       2.199395539911e+04 
       2.583680117504e-02       2.189831413398e+04 
       2.596342414094e-02       2.180285863726e+04 
       2.609028693077e-02       2.170770334547e+04 
       2.621739520525e-02       2.161257905113e+04 
       2.634475478071e-02       2.151769569722e+04 
       2.647237163421e-02       2.142274779433e+04 
       2.660025190884e-02       2.132820396588e+04 
       2.672840191926e-02       2.123363092221e+04 
       2.685682815748e-02       2.113936790031e+04 
       2.698553729887e-02       2.104522287614e+04 
       2.711453620839e-02       2.095125750451e+04 
       2.724383194715e-02       2.085749536547e+04 
       2.737343177920e-02       2.076391194701e+04 
       2.750334317864e-02       2.067055003535e+04 
       2.763357383701e-02       2.057736914200e+04 
       2.776413167105e-02       2.048426910556e+04 
       2.789502483079e-02       2.039163231614e+04 
       2.802626170795e-02       2.029909941284e+04 
       2.815785094479e-02       2.020672325959e+04 
       2.828980144335e-02       2.011449854769e+04 
       2.842212237508e-02       2.002255740445e+04 
       2.855482319094e-02       1.993092089766e+04 
       2.868791363197e-02       1.983931620549e+04 
       2.882140374037e-02       1.974815245309e+04 
       2.895530387112e-02       1.965706630899e+04 
       2.908962470409e-02       1.956628263318e+04 
       2.922437725686e-02       1.947562900558e+04 
       2.935957289803e-02       1.938526775395e+04 
       2.949522336132e-02       1.929517690535e+04 
       2.963134076029e-02       1.920522334835e+04 
       2.976793760385e-02       1.911556273602e+04 
       2.990502681254e-02       1.902614075195e+04 
       3.004262173568e-02       1.893690527044e+04 
       3.018073616936e-02       1.884797257566e+04 
       3.031938437545e-02       1.875914019924e+04 
       3.045858110157e-02       1.867057654162e+04 
       3.059834160217e-02       1.858227776943e+04 
       3.073868166073e-02       1.849417710786e+04 
       3.087961761323e-02       1.840626513338e+04 
       3.102116637283e-02       1.831862397164e+04 
       3.116334545606e-02       1.823117800144e+04 
       3.130617301043e-02       1.814389432838e+04 
       3.144966784360e-02       1.805682019508e+04 
       3.159384945436e-02       1.797009469135e+04 
       3.173873806530e-02       1.788344071472e+04 
       3.188435465754e-02       1.779716535408e+04 
       3.203072100745e-02       1.771081769932e+04 
       3.217785972570e-02       1.762483499666e+04 
       3.232579429868e-02       1.753897437957e+04 
       3.247454913249e-02       1.745337572453e+04 
       3.262414959972e-02       1.736792108521e+04 
       3.277462208930e-02       1.728258609517e+04 
       3.292599405943e-02       1.719749220713e+04 
       3.307829409412e-02       1.711245615720e+04 
       3.323155196343e-02       1.702767647400e+04 
       3.338579868781e-02       1.694296267247e+04 
       3.354106660673e-02       1.685874016677e+04 
       3.369738945217e-02       1.677420288863e+04 
       3.385480242724e-02       1.669000690084e+04 
       3.401334229028e-02       1.660586988040e+04 
       3.417304744521e-02       1.652192978023e+04 
       3.433395803827e-02       1.643803383224e+04 
       3.449611606207e-02       1.635421086236e+04 
       3.465956546743e-02       1.627054444086e+04 
       3.482435228367e-02       1.618690858607e+04 
       3.499052474836e-02       1.610336189655e+04 
       3.515813344705e-02       1.601989383757e+04 
       3.532723146436e-02       1.593644638023e+04 
       3.549787454714e-02       1.585303834236e+04 
       3.567012128110e-02       1.576969705252e+04 
       3.584403328219e-02       1.568636644517e+04 
       3.601967540422e-02       1.560300300618e+04 
       3.619711596441e-02       1.551964219027e+04 
       3.637642698862e-02       1.543625713215e+04 
       3.655768447857e-02       1.535283626521e+04 
       3.674096870317e-02       1.526934567067e+04 
       3.692636451681e-02       1.518571485493e+04 
       3.711396170744e-02       1.510214426857e+04 
       3.730385537797e-02       1.501840292448e+04 
       3.749614636477e-02       1.493451938960e+04 
       3.769094169753e-02       1.485052338873e+04 
       3.788835510567e-02       1.476634876268e+04 
       3.808850757674e-02       1.468199281433e+04 
       3.829152797339e-02       1.459742590320e+04 
       3.849755371635e-02       1.451261752400e+04 
       3.870673154183e-02       1.442762456693e+04 
       3.891921834330e-02       1.434228175472e+04 
       3.913518210882e-02       1.425669618108e+04 
       3.935480296723e-02       1.417071019265e+04 
       3.957827435828e-02       1.408438160651e+04 
       3.980580434451e-02       1.399765191496e+04 
       4.003761708559e-02       1.391054543251e+04 
       4.027395449951e-02       1.382291758113e+04 
       4.051507813894e-02       1.373481126673e+04 
       4.076127131668e-02       1.364613782859e+04 
       4.101284151976e-02       1.355691627619e+04 
       4.127012315982e-02       1.346698945290e+04 
       4.153348071574e-02       1.337647578634e+04 
       4.180331233632e-02       1.328521411641e+04 
       4.208005398372e-02       1.319314353494e+04 
       4.236418421543e-02       1.310021315677e+04 
       4.265622972287e-02       1.300639350096e+04 
       4.295677177032e-02       1.291160316737e+04 
       4.326645370963e-02       1.281574521896e+04 
       4.358598978553e-02       1.271876097247e+04 
       4.391617549664e-02       1.262060224420e+04 
       4.425789983938e-02       1.252111409572e+04 
       4.461215984182e-02       1.242021959613e+04 
       4.498007789458e-02       1.231781647206e+04 
       4.536292251443e-02       1.221380556747e+04 
       4.576213333864e-02       1.210803208333e+04 
       4.617935135652e-02       1.200039217408e+04 
       4.661645564891e-02       1.189064642858e+04 
       4.707560824167e-02       1.177871070144e+04 
       4.755930910017e-02       1.166442173884e+04 
       4.807046381230e-02       1.154754801159e+04 
       4.861246713099e-02       1.142784860108e+04 
       4.918930625781e-02       1.130506971300e+04 
       4.980568847214e-02       1.117898211551e+04 
       5.046719826206e-02       1.104932002299e+04 
       5.118048907271e-02       1.091559985667e+04 
       5.195351328301e-02       1.077749500149e+04 
       5.279578932823e-02       1.063448328183e+04 
       5.371869377920e-02       1.048587052827e+04 
       5.473574305130e-02       1.033088095288e+04 
       5.586278556414e-02       1.016826239825e+04 
       5.711795029906e-02       9.996275817230e+03 
