# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_pacdm          15:(.)xa_pacdr           16:(.)rho_pacdr          17:(.)p_pacdr            18:(.)nsub_pacdr         19:(.)N_pacdr            20:(.)w_pacdr            21:(.)cs2_pacdr       22:(.)Gamma_pacdr [1/Mpc]    23:(.)dx_pacdr           24:(.)ddx_pacdr          25:(.)dw_pacdr           26:(.)ddw_pacdr          27:(.)dcs2_pacdr         28:(.)dGamma_pacdr       29:(.)rho_lambda         30:(.)rho_ur             31:(.)rho_crit           32:(.)rho_tot            33:(.)p_tot              34:(.)p_tot_prime        35:gr.fac. D             36:gr.fac. f          
       2.995657540498e+09       8.046041673469e-17       1.478014182794e-04       2.026812984497e+13       1.376396097637e+04       4.594637666590e-06       4.123211349976e+13       8.533318328388e-05       2.215887604723e+26       6.694983336731e+19       3.412941301180e+20       5.032425984136e+25       1.677475328045e+25       1.796284895358e+19       4.676835205356e-06       3.591985912832e+25       1.197328637608e+25       1.688636050784e+16       7.137658555044e-01       3.333333333326e-01       3.333333333329e-01       3.267379251908e+23       4.676835205350e-06       4.676835205334e-06      -1.159920550942e-12      -2.319841101269e-12      -2.319841102498e-12      -2.000000000023e+00       5.028897389097e-08       1.029637817637e+26       4.107970874125e+26       4.107970874125e+26       1.369322204019e+26      -3.705844188955e+30       1.408289269496e-04       9.161190214345e-02 
       2.963629718801e+09       8.220887810411e-17       1.493987001595e-04       1.983705670748e+13       1.376396097478e+04       4.644291722011e-06       4.079128380703e+13       8.625537511089e-05       2.122632635198e+26       6.482534431987e+19       3.304639964952e+20       4.820637836223e+25       1.606879278741e+25       1.739284192080e+19       4.727377566658e-06       3.440818256078e+25       1.146939418690e+25       1.635051320029e+16       7.137658555045e-01       3.333333333325e-01       3.333333333329e-01       3.197886910994e+23       4.727377566653e-06       4.727377566636e-06      -1.185126443639e-12      -2.370252886637e-12      -2.370252887919e-12      -2.000000000023e+00       5.028897389097e-08       9.863058169070e+25       3.935088188157e+26       3.935088188157e+26       1.311694687111e+26      -3.511931563822e+30       1.409676060667e-04       9.152179377978e-02 
       2.931944319876e+09       8.399533476353e-17       1.510132460680e-04       1.941515185908e+13       1.376396097316e+04       4.694482386708e-06       4.035516720803e+13       8.718753301976e-05       2.033302273276e+26       6.276827073092e+19       3.199775306473e+20       4.617762729403e+25       1.539254243134e+25       1.684092266565e+19       4.778466137133e-06       3.296012445112e+25       1.098670815035e+25       1.583166969513e+16       7.137658555045e-01       3.333333333325e-01       3.333333333329e-01       3.129872569747e+23       4.778466137128e-06       4.778466137110e-06      -1.210880078185e-12      -2.421760155700e-12      -2.421760157038e-12      -2.000000000023e+00       5.028897389097e-08       9.447974305150e+25       3.769481217109e+26       3.769481217109e+26       1.256492407080e+26      -3.328165643467e+30       1.411062852086e-04       9.143186270948e-02 
       2.900597682741e+09       8.582061237692e-17       1.526452397229e-04       1.900222030378e+13       1.376396097153e+04       4.745215459794e-06       3.992371331312e+13       8.812976471339e-05       1.947731353015e+26       6.077647333595e+19       3.098238271189e+20       4.423425560999e+25       1.474475187000e+25       1.630651721679e+19       4.830106819640e-06       3.157300743549e+25       1.052433581180e+25       1.532929041832e+16       7.137658555045e-01       3.333333333325e-01       3.333333333329e-01       3.063304793292e+23       4.830106819634e-06       4.830106819616e-06      -1.237193357396e-12      -2.474386714094e-12      -2.474386715489e-12      -2.000000000024e+00       5.028897389097e-08       9.050359121950e+25       3.610843764733e+26       3.610843764733e+26       1.203613298555e+26      -3.154015489691e+30       1.412449643756e-04       9.134210841245e-02 
       2.869586185550e+09       8.768555455097e-17       1.542948684801e-04       1.859807119288e+13       1.376396096988e+04       4.796496803055e-06       3.949687227139e+13       8.908217905861e-05       1.865761659435e+26       5.884788075475e+19       2.999923265125e+20       4.237267014415e+25       1.412422338138e+25       1.578906981645e+19       4.882305580830e-06       3.024426682611e+25       1.008142227535e+25       1.484285291786e+16       7.137658555045e-01       3.333333333325e-01       3.333333333329e-01       2.998152815329e+23       4.882305580824e-06       4.882305580806e-06      -1.264078442746e-12      -2.528156884765e-12      -2.528156886219e-12      -2.000000000024e+00       5.028897389097e-08       8.669477455249e+25       3.458882520955e+26       3.458882520955e+26       1.152959591554e+26      -2.988977946261e+30       1.413836435681e-04       9.125253037067e-02 
       2.838906245185e+09       8.959102322451e-17       1.559623269713e-04       1.820251773675e+13       1.376396096821e+04       4.848332341623e-06       3.907459476490e+13       9.004488609876e-05       1.787241635982e+26       5.698048733731e+19       2.904728045072e+20       4.058942894791e+25       1.352980964930e+25       1.528804234248e+19       4.935068451836e-06       2.897144586933e+25       9.657148623084e+24       1.437185132054e+16       7.137658555045e-01       3.333333333325e-01       3.333333333329e-01       2.934386523909e+23       4.935068451830e-06       4.935068451811e-06      -1.291547759987e-12      -2.583095519215e-12      -2.583095520732e-12      -2.000000000025e+00       5.028897389097e-08       8.304625079991e+25       3.313316519566e+26       3.313316519566e+26       1.104437630717e+26      -2.832576185182e+30       1.415223227863e-04       9.116312806816e-02 
       2.808554316832e+09       9.153789906746e-17       1.576478043717e-04       1.781537711848e+13       1.376396096653e+04       4.900728064662e-06       3.865683200301e+13       9.101799706643e-05       1.712026104317e+26       5.517235107800e+19       2.812553612259e+20       3.888123492601e+25       1.296041164200e+25       1.480291374873e+19       4.988401528970e-06       2.775219120321e+25       9.250730401047e+24       1.391579580574e+16       7.137658555046e-01       3.333333333325e-01       3.333333333329e-01       2.871976447523e+23       4.988401528963e-06       4.988401528943e-06      -1.319614004890e-12      -2.639228008988e-12      -2.639228010571e-12      -2.000000000025e+00       5.028897389097e-08       7.955127408222e+25       3.173876618738e+26       3.173876618738e+26       1.057957702144e+26      -2.684358329042e+30       1.416610020305e-04       9.107390099100e-02 
       2.778526893579e+09       9.352708188480e-17       1.593514971319e-04       1.743647040944e+13       1.376396096482e+04       4.953690026063e-06       3.824353571670e+13       9.200162439624e-05       1.639975995890e+26       5.342159159599e+19       2.723304109399e+20       3.724492974050e+25       1.241497658017e+25       1.433317952315e+19       5.042310974424e-06       2.658424850639e+25       8.861416168774e+24       1.347421209613e+16       7.137658555046e-01       3.333333333324e-01       3.333333333329e-01       2.810893741476e+23       5.042310974417e-06       5.042310974397e-06      -1.348290149114e-12      -2.696580297403e-12      -2.696580299054e-12      -2.000000000026e+00       5.028897389097e-08       7.620338241822e+25       3.040305003392e+26       3.040305003392e+26       1.013433867513e+26      -2.543896145443e+30       1.417996813011e-04       9.098484862727e-02 
       2.748820506007e+09       9.555949103697e-17       1.610736017028e-04       1.706562248651e+13       1.376396096310e+04       5.007224345139e-06       3.783465815301e+13       9.299588173794e-05       1.570958094804e+26       5.172638817973e+19       2.636886721001e+20       3.567748797111e+25       1.189249599037e+25       1.387835116316e+19       5.096803016987e-06       2.546545832993e+25       8.488486109953e+24       1.304664096441e+16       7.137658555046e-01       3.333333333324e-01       3.333333333329e-01       2.751110174558e+23       5.096803016980e-06       5.096803016959e-06      -1.377589446203e-12      -2.755178891546e-12      -2.755178893267e-12      -2.000000000027e+00       5.028897389097e-08       7.299638577724e+25       2.912354708521e+26       2.912354708521e+26       9.707838051955e+25      -2.410783809748e+30       1.419383605983e-04       9.089597046709e-02 
       2.719431721789e+09       9.763606586261e-17       1.628143163543e-04       1.670266195121e+13       1.376396096136e+04       5.061337207336e-06       3.743015206956e+13       9.400088396946e-05       1.504844791519e+26       5.008497789348e+19       2.553211576846e+20       3.417601152149e+25       1.139200384050e+25       1.343795566761e+19       5.151883952761e-06       2.439375210465e+25       8.131250701527e+24       1.263263775573e+16       7.137658555046e-01       3.333333333324e-01       3.333333333329e-01       2.692598115992e+23       5.151883952754e-06       5.151883952732e-06      -1.407525437709e-12      -2.815050874520e-12      -2.815050876316e-12      -2.000000000027e+00       5.028897389097e-08       6.992435463424e+25       2.789789162564e+26       2.789789162564e+26       9.299286580409e+25      -2.284636732570e+30       1.420770399225e-04       9.080726600262e-02 
