# Matter power spectrum P(k) at redshift z=0
# for k=9.41771e-06 to 7.56952 h/Mpc,
# number of wavenumbers equal to 620
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.692636451681e-02       1.530245433569e+04 
       3.711396170744e-02       1.521827221715e+04 
       3.730385537797e-02       1.513390849413e+04 
       3.749614636477e-02       1.504939263350e+04 
       3.769094169753e-02       1.496475531453e+04 
       3.788835510567e-02       1.487992911894e+04 
       3.808850757674e-02       1.479491154180e+04 
       3.829152797339e-02       1.470967250628e+04 
       3.849755371635e-02       1.462418103972e+04 
       3.870673154183e-02       1.453849567611e+04 
       3.891921834330e-02       1.445244744002e+04 
       3.913518210882e-02       1.436614633382e+04 
       3.935480296723e-02       1.427943118266e+04 
       3.957827435828e-02       1.419236160585e+04 
       3.980580434451e-02       1.410487808323e+04 
       4.003761708559e-02       1.401700605777e+04 
       4.027395449951e-02       1.392859785149e+04 
       4.051507813894e-02       1.383969808612e+04 
       4.076127131668e-02       1.375021651729e+04 
       4.101284151976e-02       1.366017341580e+04 
       4.127012315982e-02       1.356940829568e+04 
       4.153348071574e-02       1.347804361081e+04 
       4.180331233632e-02       1.338591482867e+04 
       4.208005398372e-02       1.329296035053e+04 
       4.236418421543e-02       1.319912892064e+04 
       4.265622972287e-02       1.310439137168e+04 
       4.295677177032e-02       1.300866528642e+04 
       4.326645370963e-02       1.291185239314e+04 
       4.358598978553e-02       1.281389395967e+04 
       4.391617549664e-02       1.271474233621e+04 
       4.425789983938e-02       1.261424030159e+04 
       4.461215984182e-02       1.251231123434e+04 
       4.498007789458e-02       1.240885279946e+04 
       4.536292251443e-02       1.230376624831e+04 
       4.576213333864e-02       1.219689586057e+04 
       4.617935135652e-02       1.208813886932e+04 
       4.661645564891e-02       1.197725316588e+04 
       4.707560824167e-02       1.186415754993e+04 
       4.755930910017e-02       1.174869028900e+04 
       4.807046381230e-02       1.163062053547e+04 
       4.861246713099e-02       1.150970944151e+04 
       4.918930625781e-02       1.138570679388e+04 
       4.980568847214e-02       1.125838992400e+04 
       5.046719826206e-02       1.112750074609e+04 
       5.118048907271e-02       1.099255855494e+04 
       5.195351328301e-02       1.085324976800e+04 
       5.279578932823e-02       1.070906413017e+04 
       5.371869377920e-02       1.055931876078e+04 
       5.473574305130e-02       1.040325041914e+04 
       5.586278556414e-02       1.023960440221e+04 
       5.711795029906e-02       1.006662230400e+04 
       5.852108874982e-02       9.881445684957e+03 
       6.009233502861e-02       9.679677401569e+03 
       6.184940922771e-02       9.454789972641e+03 
       6.380363876731e-02       9.197477016327e+03 
       6.595558487704e-02       8.896541914533e+03 
       6.829231615226e-02       8.541224524963e+03 
       7.078850861786e-02       8.126024198714e+03 
       7.341159781901e-02       7.655424893769e+03 
       7.612848068028e-02       7.146199066825e+03 
       7.891060131971e-02       6.624987117760e+03 
       8.173606572054e-02       6.122318103504e+03 
       8.458941522752e-02       5.665433510947e+03 
       8.746032391190e-02       5.273106724778e+03 
       9.034213904128e-02       4.953230073206e+03 
       9.323067159594e-02       4.703291192847e+03 
       9.612332129368e-02       4.512698356873e+03 
       9.901848812226e-02       4.365973099945e+03 
       1.019151927391e-01       4.246369503564e+03 
       1.048128375430e-01       4.138806974039e+03 
       1.077110584744e-01       4.032143522825e+03 
       1.106096338948e-01       3.920124492091e+03 
       1.135084288583e-01       3.800937540811e+03 
       1.164073611354e-01       3.675880214482e+03 
       1.193063805390e-01       3.547449237715e+03 
       1.222054563568e-01       3.417672197082e+03 
       1.251045697182e-01       3.287207539176e+03 
       1.280037089575e-01       3.155413595235e+03 
       1.296249739193e-01       3.080659290313e+03 
       1.309028667988e-01       3.021045960293e+03 
       1.338020386460e-01       2.883383811609e+03 
       1.367012215430e-01       2.743320009780e+03 
       1.396004135426e-01       2.603692535071e+03 
       1.424996133212e-01       2.469131734659e+03 
       1.453988199448e-01       2.345027535077e+03 
       1.482980327256e-01       2.236377996204e+03 
       1.511972511341e-01       2.146579948301e+03 
       1.540964747451e-01       2.076633310618e+03 
       1.569957032040e-01       2.024920422891e+03 
       1.598949362061e-01       1.987451706992e+03 
       1.627941734829e-01       1.958578249653e+03 
       1.656934147938e-01       1.932429705037e+03 
       1.685926599202e-01       1.903288243656e+03 
       1.714919086615e-01       1.866879481732e+03 
       1.743911608330e-01       1.821498146933e+03 
       1.772904162628e-01       1.767833652087e+03 
       1.801896747914e-01       1.708383076359e+03 
       1.830889362695e-01       1.646561871343e+03 
       1.859882005579e-01       1.585701790551e+03 
       1.888874675258e-01       1.528242132915e+03 
       1.917867370507e-01       1.475343514460e+03 
       1.946860090173e-01       1.426963456111e+03 
       1.975852833173e-01       1.382214401183e+03 
       2.004845598489e-01       1.339932377858e+03 
       2.033838385157e-01       1.299205035259e+03 
       2.062831192271e-01       1.259747376149e+03 
       2.091824018977e-01       1.221937889767e+03 
       2.120816864463e-01       1.186688539036e+03 
       2.149809727966e-01       1.155037179027e+03 
       2.178802608762e-01       1.127733200445e+03 
       2.207795506164e-01       1.104943676969e+03 
       2.236788419523e-01       1.086057762234e+03 
       2.265781348223e-01       1.069783189056e+03 
       2.294774291678e-01       1.054352734775e+03 
       2.323767249332e-01       1.037935240274e+03 
       2.352760220659e-01       1.019035093149e+03 
       2.381753205154e-01       9.968312503590e+02 
       2.410746202341e-01       9.713515810559e+02 
       2.439739211763e-01       9.434402685857e+02 
       2.468732232989e-01       9.144790133330e+02 
       2.497725265603e-01       8.860290244634e+02 
       2.526718309212e-01       8.594788335858e+02 
       2.555711363440e-01       8.357162253892e+02 
       2.584704427927e-01       8.150090220033e+02 
       2.613697502330e-01       7.970541589156e+02 
       2.642690586321e-01       7.811167272894e+02 
       2.671683679585e-01       7.662989447101e+02 
       2.700676781824e-01       7.517944684200e+02 
       2.729669892749e-01       7.370969555160e+02 
       2.758663012084e-01       7.220910105167e+02 
       2.787656139567e-01       7.070025381254e+02 
       2.816649274944e-01       6.922730269131e+02 
       2.845642417973e-01       6.783607208649e+02 
       2.874635568421e-01       6.655625703589e+02 
       2.903628726065e-01       6.539109825705e+02 
