#scalar perturbations for mode k = 1.000000000000e-01 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_ncdm[0]         19:theta_ncdm[0]         20:shear_ncdm[0]         21:cs2_ncdm[0]           22:delta_pacdm           23:theta_pacdm           24:delta_pacdr           25:theta_pacdr        
       7.017391348742e-01       1.586863193865e-06      -1.216719550048e+00       2.128094008856e-03       4.207233115330e-09       1.051808278832e-08       1.169725146112e-15       2.103616557665e-09      -9.125396625361e-01       2.128094008856e-03       6.076444066305e-01       6.960637168276e-01      -1.216719549514e+00       2.127637115399e-03       1.948833133123e-04      -9.125396633765e-01       2.129052163810e-03      -1.641529987024e-03      -1.416507864558e-06       1.950843077798e-04       3.333333255729e-01      -9.125396625361e-01       2.128094012376e-03      -1.216703642826e+00       2.128094012376e-03 
       7.018799895903e-01       1.587182104779e-06      -1.216720788999e+00       2.128521274099e-03       4.209769339776e-09       1.052442334944e-08       1.170900774008e-15       2.104884669888e-09      -9.125405917496e-01       2.128521274099e-03       6.076434808684e-01       6.960635070171e-01      -1.216720788379e+00       2.128064105261e-03       1.949632297642e-04      -9.125405927249e-01       2.129480005793e-03      -1.642188146818e-03      -1.417360864714e-06       1.951643065703e-04       3.333333255698e-01      -9.125405917496e-01       2.128521278185e-03      -1.216704875365e+00       2.128521278185e-03 
       7.024856521663e-01       1.588553394704e-06      -1.216726105962e+00       2.130358454736e-03       4.220686457295e-09       1.055171614324e-08       1.175966636957e-15       2.110343228648e-09      -9.125445794714e-01       2.130358454736e-03       6.076395082538e-01       6.960626076839e-01      -1.216726104972e+00       2.129900100495e-03       1.953070459346e-04      -9.125445810282e-01       2.131319668997e-03      -1.645019677190e-03      -1.421032614116e-06       1.955084769226e-04       3.333333255564e-01      -9.125445794714e-01       2.130358461258e-03      -1.216710164737e+00       2.130358461258e-03 
       7.030913147423e-01       1.589924687523e-06      -1.216731407103e+00       2.132195602631e-03       4.231622382765e-09       1.057905595691e-08       1.181050008967e-15       2.115811191383e-09      -9.125485553272e-01       2.132195602632e-03       6.076355484828e-01       6.960617126769e-01      -1.216731405742e+00       2.131736060896e-03       1.956511584495e-04      -9.125485574669e-01       2.133159303735e-03      -1.647853646284e-03      -1.424710737974e-06       1.958529438996e-04       3.333333255429e-01      -9.125485553272e-01       2.132195611596e-03      -1.216715438265e+00       2.132195611596e-03 
       7.036969773183e-01       1.591295983316e-06      -1.216736694230e+00       2.134032721063e-03       4.242577139134e-09       1.060644284784e-08       1.186150937392e-15       2.121288569567e-09      -9.125525206729e-01       2.134032721063e-03       6.076316011187e-01       6.960608215441e-01      -1.216736692498e+00       2.133571989739e-03       1.959955673033e-04      -9.125525233970e-01       2.134998913289e-03      -1.650690055005e-03      -1.428395242571e-06       1.961977076059e-04       3.333333255295e-01      -9.125525206729e-01       2.134032732477e-03      -1.216720697755e+00       2.134032732477e-03 
       7.043026398943e-01       1.592667282180e-06      -1.216741969591e+00       2.135869814139e-03       4.253550751167e-09       1.063387687792e-08       1.191269470218e-15       2.126775375583e-09      -9.125564771930e-01       2.135869814140e-03       6.076276656260e-01       6.960599337241e-01      -1.216741967486e+00       2.135407891131e-03       1.963402724908e-04      -9.125564805030e-01       2.136838501771e-03      -1.653528904515e-03      -1.432086134419e-06       1.965427681761e-04       3.333333255160e-01      -9.125564771930e-01       2.135869828009e-03      -1.216725945454e+00       2.135869828008e-03 
       7.049083024704e-01       1.594038584173e-06      -1.216747234503e+00       2.137706884248e-03       4.264543240035e-09       1.066135810009e-08       1.196405654455e-15       2.132271620017e-09      -9.125604258769e-01       2.137706884249e-03       6.076237416779e-01       6.960590488870e-01      -1.216747232024e+00       2.137243767458e-03       1.966852740076e-04      -9.125604297744e-01       2.138678071573e-03      -1.656370195479e-03      -1.435783419606e-06       1.968881256867e-04       3.333333255026e-01      -9.125604258769e-01       2.137706900580e-03      -1.216731182681e+00       2.137706900580e-03 
       7.055139650464e-01       1.595409889210e-06      -1.216752487233e+00       2.139543928072e-03       4.275554614777e-09       1.068888653694e-08       1.201559533583e-15       2.137777307389e-09      -9.125643654251e-01       2.139543928072e-03       6.076198296352e-01       6.960581674661e-01      -1.216752484381e+00       2.139079615401e-03       1.970305718489e-04      -9.125643699116e-01       2.140517619381e-03      -1.659213926895e-03      -1.439487102772e-06       1.972337800159e-04       3.333333254891e-01      -9.125643654251e-01       2.139543946872e-03      -1.216736407703e+00       2.139543946871e-03 
       7.072785501621e-01       1.599405174043e-06      -1.216767706030e+00       2.144895936757e-03       4.307743775396e-09       1.076935943849e-08       1.216676536009e-15       2.153871887698e-09      -9.125757795222e-01       2.144895936758e-03       6.076085030692e-01       6.960556228102e-01      -1.216767702081e+00       2.144428127930e-03       1.980382790826e-04      -9.125757857333e-01       2.145876947867e-03      -1.667512981943e-03      -1.450314223258e-06       1.982425276181e-04       3.333333254497e-01      -9.125757795223e-01       2.144895962786e-03      -1.216751545634e+00       2.144895962786e-03 
       7.090431352778e-01       1.603400482731e-06      -1.216782782192e+00       2.150247645665e-03       4.340093614237e-09       1.085023403559e-08       1.231945209343e-15       2.170046807118e-09      -9.125870866440e-01       2.150247645666e-03       6.075972854403e-01       6.960531169607e-01      -1.216782777138e+00       2.149776322803e-03       1.990485014336e-04      -9.125870945926e-01       2.151236013121e-03      -1.675832728328e-03      -1.461195814071e-06       1.992537917439e-04       3.333333254103e-01      -9.125870866441e-01       2.150247678979e-03      -1.216766540730e+00       2.150247678979e-03 
       7.108077203936e-01       1.607395815377e-06      -1.216797720427e+00       2.155599061160e-03       4.372604539980e-09       1.093151134995e-08       1.247366694537e-15       2.186302269990e-09      -9.125982903205e-01       2.155599061162e-03       6.075861749893e-01       6.960506487407e-01      -1.216797714260e+00       2.155124206341e-03       2.000612387451e-04      -9.125983000197e-01       2.156594821597e-03      -1.684173166523e-03      -1.472132011771e-06       2.002675723568e-04       3.333333253708e-01      -9.125982903207e-01       2.155599101816e-03      -1.216781397697e+00       2.155599101815e-03 
       7.125723055093e-01       1.611391173439e-06      -1.216812554314e+00       2.160950244283e-03       4.405277080415e-09       1.101319270104e-08       1.262942174551e-15       2.202638540207e-09      -9.126094157358e-01       2.160950244285e-03       6.075751634588e-01       6.960482097554e-01      -1.216812547026e+00       2.160471839539e-03       2.010764908721e-04      -9.126094271987e-01       2.161953434428e-03      -1.692534313297e-03      -1.483122967179e-06       2.012838713651e-04       3.333333253311e-01      -9.126094157361e-01       2.160950292336e-03      -1.216796150114e+00       2.160950292335e-03 
       7.143368906250e-01       1.615386557161e-06      -1.216827291548e+00       2.166301207595e-03       4.438111660091e-09       1.109527915023e-08       1.278672807208e-15       2.219055830046e-09      -9.126204686607e-01       2.166301207597e-03       6.075642484238e-01       6.960457980810e-01      -1.216827283130e+00       2.165819234913e-03       2.020942576898e-04      -9.126204819004e-01       2.167311864265e-03      -1.700916171401e-03      -1.494168818892e-06       2.023026890225e-04       3.333333252914e-01      -9.126204686611e-01       2.166301263101e-03      -1.216810805675e+00       2.166301263101e-03 
       7.161014757408e-01       1.619381965012e-06      -1.216841901789e+00       2.171651891546e-03       4.471108545654e-09       1.117777136414e-08       1.294559707637e-15       2.235554272827e-09      -9.126314263421e-01       2.171651891548e-03       6.075534360340e-01       6.960434213018e-01      -1.216841892233e+00       2.171166332870e-03       2.031145390690e-04      -9.126314413718e-01       2.172670051649e-03      -1.709318722132e-03      -1.505269686639e-06       2.033240230283e-04       3.333333252516e-01      -9.126314263426e-01       2.171651954564e-03      -1.216825334043e+00       2.171651954563e-03 
