# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   73       2.797184813297e-10       5.161426673682e-14      -1.060125489172e-12       1.649560393637e-16       1.811476557312e-11       2.754550536331e-12      -9.357610540938e-15 
   74       2.834876310641e-10       5.354495939316e-14      -1.129654599731e-12       1.695244043416e-16       1.751119325338e-11       2.678172514840e-12      -9.213631021196e-15 
   75       2.872910434053e-10       5.550208589183e-14      -1.200744351030e-12       1.741553673736e-16       1.693296580862e-11       2.604868524472e-12      -9.082371758402e-15 
   76       2.911275223330e-10       5.748437957113e-14      -1.273344313354e-12       1.788490522901e-16       1.637698933384e-11       2.534288731713e-12      -8.966433925312e-15 
   77       2.949976594440e-10       5.949047501108e-14      -1.347415620215e-12       1.836055779258e-16       1.584277551141e-11       2.466375631764e-12      -8.864758722738e-15 
   78       2.989022947691e-10       6.151893092862e-14      -1.422921308656e-12       1.884250711739e-16       1.533030348245e-11       2.401119675568e-12      -8.775049717106e-15 
   79       3.028419525899e-10       6.356823790734e-14      -1.499822865399e-12       1.933076719708e-16       1.483924351793e-11       2.338470375681e-12      -8.694633233181e-15 
   80       3.068168229646e-10       6.563681763913e-14      -1.578080246443e-12       1.982535337639e-16       1.436894289111e-11       2.278334433911e-12      -8.620444523949e-15 
   81       3.108267432542e-10       6.772302216577e-14      -1.657651896651e-12       2.032628239797e-16       1.391841175006e-11       2.220573868939e-12      -8.549013940490e-15 
   82       3.148711796483e-10       6.982513312054e-14      -1.738494769336e-12       2.083357244918e-16       1.348630899009e-11       2.165004143951e-12      -8.476453101860e-15 
   83       3.189492086911e-10       7.194136096982e-14      -1.820564345858e-12       2.134724320891e-16       1.307092812620e-11       2.111392294269e-12      -8.398441064961e-15 
   84       3.230599129136e-10       7.406988615412e-14      -1.903813843231e-12       2.186731554086e-16       1.267060668053e-11       2.059515215856e-12      -8.311352531602e-15 
   85       3.272036835578e-10       7.620899200853e-14      -1.988191643109e-12       2.239381041269e-16       1.228506326908e-11       2.009349734804e-12      -8.215887660799e-15 
   86       3.313811009491e-10       7.835695258963e-14      -2.073643470515e-12       2.292674988263e-16       1.191425730409e-11       1.960910760945e-12      -8.114021443438e-15 
   87       3.355925282477e-10       8.051199268194e-14      -2.160113173785e-12       2.346615747736e-16       1.155797828098e-11       1.914193079957e-12      -8.007920451894e-15 
   88       3.398380999333e-10       8.267228774369e-14      -2.247542730505e-12       2.401205823285e-16       1.121583876868e-11       1.869170492102e-12      -7.899948203818e-15 
   89       3.441177102916e-10       8.483596385267e-14      -2.335872253459e-12       2.456447873517e-16       1.088726740002e-11       1.825794950958e-12      -7.792670525908e-15 
   90       3.484310018995e-10       8.700109765200e-14      -2.425039996570e-12       2.512344716142e-16       1.057150186210e-11       1.783995702156e-12      -7.688860917695e-15 
   91       3.527773541111e-10       8.916571629594e-14      -2.514982360845e-12       2.568899332053e-16       1.026758188660e-11       1.743678422122e-12      -7.591505915318e-15 
   92       3.571558715432e-10       9.132779739571e-14      -2.605633900315e-12       2.626114869418e-16       9.974342240227e-12       1.704724356804e-12      -7.503810455304e-15 
   93       3.615656692775e-10       9.348530830807e-14      -2.696928067398e-12       2.683994695392e-16       9.690685845644e-12       1.667018350471e-12      -7.428416030963e-15 
   94       3.660068025447e-10       9.563633087821e-14      -2.788799564307e-12       2.742542551297e-16       9.416465358335e-12       1.630539624941e-12      -7.364909000490e-15 
   95       3.704794562266e-10       9.777895544531e-14      -2.881182357922e-12       2.801762428444e-16       9.151721835814e-12       1.595283124690e-12      -7.311945701578e-15 
   96       3.749836532568e-10       9.991124365073e-14      -2.974008987772e-12       2.861658527262e-16       8.896413299021e-12       1.561231384859e-12      -7.268000898626e-15 
   97       3.795192471795e-10       1.020312289239e-13      -3.067210582118e-12       2.922235262032e-16       8.650411567993e-12       1.528354066560e-12      -7.231362340651e-15 
   98       3.840859147078e-10       1.041369169682e-13      -3.160716874055e-12       2.983497265633e-16       8.413499097535e-12       1.496607492177e-12      -7.200125319199e-15 
   99       3.886831482828e-10       1.062262862467e-13      -3.254456217597e-12       3.045449394278e-16       8.185365812889e-12       1.465934180675e-12      -7.172187226259e-15 
  100       3.933102486322e-10       1.082972884681e-13      -3.348355603777e-12       3.108096732255e-16       7.965605945408e-12       1.436262382905e-12      -7.145242112176e-15 
  101       3.979663173288e-10       1.103478490727e-13      -3.442340676736e-12       3.171444596666e-16       7.753714868227e-12       1.407505616907e-12      -7.116775243561e-15 
  102       4.026502493490e-10       1.123758677180e-13      -3.536335749818e-12       3.235498542169e-16       7.549085931931e-12       1.379562203217e-12      -7.084057661204e-15 
  103       4.073607256322e-10       1.143792187647e-13      -3.630263821662e-12       3.300264365716e-16       7.351007300229e-12       1.352314800173e-12      -7.044140737987e-15 
  104       4.120964787115e-10       1.163558035692e-13      -3.724047548861e-12       3.365747960426e-16       7.158821486591e-12       1.325658043451e-12      -6.994538618994e-15 
  105       4.168571465035e-10       1.183037143593e-13      -3.817612278911e-12       3.431954844520e-16       6.972435323730e-12       1.299586717803e-12      -6.935392254029e-15 
  106       4.216425205173e-10       1.202210935044e-13      -3.910883458879e-12       3.498890577293e-16       6.791873305051e-12       1.274118685160e-12      -6.867588909622e-15 
  107       4.264522786940e-10       1.221060847281e-13      -4.003785741710e-12       3.566560907339e-16       6.617119675611e-12       1.249267690033e-12      -6.792102482935e-15 
  108       4.312859809663e-10       1.239568341640e-13      -4.096243012825e-12       3.634971775642e-16       6.448117055713e-12       1.225043203654e-12      -6.709995618821e-15 
  109       4.361430648181e-10       1.257714914098e-13      -4.188178416734e-12       3.704129318648e-16       6.284765064502e-12       1.201450268124e-12      -6.622421826883e-15 
  110       4.410228408435e-10       1.275482105835e-13      -4.279514383637e-12       3.774039871354e-16       6.126918943555e-12       1.178489340547e-12      -6.530627598529e-15 
  111       4.459244883068e-10       1.292851513778e-13      -4.370172656027e-12       3.844709970385e-16       5.974388180476e-12       1.156156137183e-12      -6.435954524032e-15 
  112       4.508470507016e-10       1.309804801158e-13      -4.460074315299e-12       3.916146357082e-16       5.826935132494e-12       1.134441477585e-12      -6.339841409582e-15 
  113       4.557894313105e-10       1.326323708057e-13      -4.549139808352e-12       3.988355980577e-16       5.684273650049e-12       1.113331128741e-12      -6.243826394351e-15 
  114       4.607503887645e-10       1.342390061962e-13      -4.637288974194e-12       4.061346000880e-16       5.546067700392e-12       1.092805649222e-12      -6.149549067544e-15 
  115       4.657285326026e-10       1.357985788319e-13      -4.724441070549e-12       4.135123791960e-16       5.411929991179e-12       1.072840233322e-12      -6.058752585460e-15 
  116       4.707225067347e-10       1.373093420599e-13      -4.810515551411e-12       4.209696721671e-16       5.281505872336e-12       1.053410876944e-12      -5.972931120915e-15 
  117       4.757315746301e-10       1.387697678314e-13      -4.895434450080e-12       4.285071454592e-16       5.154739557013e-12       1.034514058940e-12      -5.892219057740e-15 
  118       4.807550972695e-10       1.401784101570e-13      -4.979120337172e-12       4.361254569822e-16       5.031637834059e-12       1.016149171117e-12      -5.816370090153e-15 
  119       4.857923488588e-10       1.415338583516e-13      -5.061495628468e-12       4.438252777641e-16       4.912187070272e-12       9.983123117219e-13      -5.745098798447e-15 
  120       4.908425140496e-10       1.428347385312e-13      -5.142482618162e-12       4.516072920625e-16       4.796352588007e-12       9.809961854827e-13      -5.678079630172e-15 
  121       4.959046851603e-10       1.440797151100e-13      -5.222003512105e-12       4.594721974750e-16       4.684078042772e-12       9.641900036464e-13      -5.614945881315e-15 
  122       5.009778593970e-10       1.452674922971e-13      -5.299980461049e-12       4.674207050506e-16       4.575284800831e-12       9.478793840167e-13      -5.555288677480e-15 
  123       5.060609360742e-10       1.463968155931e-13      -5.376335593892e-12       4.754535394000e-16       4.469871316808e-12       9.320462509924e-13      -5.498655955070e-15 
  124       5.111527138360e-10       1.474664732873e-13      -5.450991050923e-12       4.835714388070e-16       4.367712511285e-12       9.166687356053e-13      -5.444551442469e-15 
  125       5.162518878766e-10       1.484752979543e-13      -5.523869017066e-12       4.917751553393e-16       4.268659148407e-12       9.017210755587e-13      -5.392433641218e-15 
  126       5.213570471612e-10       1.494221679509e-13      -5.594891755124e-12       5.000654549590e-16       4.172537213480e-12       8.871735152651e-13      -5.341714807203e-15 
  127       5.264666716473e-10       1.503060089126e-13      -5.663981639024e-12       5.084431176339e-16       4.079147290574e-12       8.729922058847e-13      -5.291759931830e-15 
  128       5.315791295052e-10       1.511257952510e-13      -5.731061187062e-12       5.169089374485e-16       3.988263940128e-12       8.591391053635e-13      -5.241885723209e-15 
  129       5.366928376914e-10       1.518805940310e-13      -5.796053970745e-12       5.254636993263e-16       3.899683584291e-12       8.455797080245e-13      -5.191482624820e-15 
  130       5.418067694887e-10       1.525696988657e-13      -5.858887383424e-12       5.341081060764e-16       3.813375424237e-12       8.323074043737e-13      -5.140398169631e-15 
  131       5.469199976508e-10       1.531925136071e-13      -5.919490239624e-12       5.428428435165e-16       3.729345979530e-12       8.193216171271e-13      -5.088593950803e-15 
